Country Name,year,percent_gdp,percent_net_exports,percent_consumption,percent_government,percent_investment,component_sum
Belize,2013,1,-1.1117738054834965,0.7271537373908573,0.2496858117756885,0.4996225674636946,0.3646883111467438
Belize,2014,1,-0.2796866075164994,0.5050249146188501,0.03685836505111061,0.6577744008955374,0.9199710730489987
Belize,2015,1,-2.0566604315178005,0.7040795919227251,0.39723129033944854,0.26900184522105663,-0.6863477040345702
Belize,2016,1,-77.71807429123712,10.946855453069178,16.540959199292715,41.35903370274145,-8.871225936133783
Belize,2017,1,-0.15734168602231907,0.18290485301701367,-0.25511408057514934,1.4633890739579942,1.2338381603775395
Belize,2018,1,4.041603364022231,1.3582209543621917,0.6149843804864742,0.8920575896669017,6.906866288537799
Belize,2019,1,-0.005773735241540465,0.6313110562150797,0.021831746519996243,0.2243732470232106,0.871742314516746
Belize,2020,1,0.24148889901426218,0.5483507703931066,0.32296596918778614,0.13057311350509107,1.243378752100246
Belize,2021,1,0.005946352356506163,0.5660540021695737,0.15351916698787424,0.26418565894916607,0.9897051804631202
Belize,2022,1,0.1626054383938143,0.6503028431914165,0.11185771225218008,0.2553464608640973,1.180112454701508
Belize,2023,1,5.889052072082102,1.0972067912821184,0.40185217546559904,1.2129625578979546,8.601073596727772
Cabo Verde,1991,1,NA,NA,NA,NA,NA
Cabo Verde,1992,1,NA,NA,NA,NA,NA
Cabo Verde,1993,1,NA,NA,NA,NA,NA
Cabo Verde,1994,1,NA,NA,NA,NA,NA
Cabo Verde,1995,1,NA,NA,NA,NA,NA
Cabo Verde,1996,1,NA,NA,NA,NA,NA
Cabo Verde,1997,1,NA,NA,NA,NA,NA
Cabo Verde,1998,1,NA,NA,NA,NA,NA
Cabo Verde,1999,1,NA,NA,NA,NA,NA
Cabo Verde,2000,1,NA,NA,NA,NA,NA
Cabo Verde,2001,1,NA,NA,NA,NA,NA
Cabo Verde,2002,1,NA,NA,NA,NA,NA
Cabo Verde,2003,1,NA,NA,NA,NA,NA
Cabo Verde,2004,1,NA,NA,NA,NA,NA
Cabo Verde,2005,1,NA,NA,NA,NA,NA
Cabo Verde,2006,1,NA,NA,NA,NA,NA
Cabo Verde,2007,1,NA,NA,NA,NA,NA
Cabo Verde,2008,1,0.5041369046516598,0.13975062143940306,0.10116844978323562,NA,NA
Cabo Verde,2009,1,1.3959638847939164,-2.232672160122815,-0.8675557798708774,NA,NA
Cabo Verde,2010,1,-1.216280909441379,-0.41077626773086945,0.21239941230367784,NA,NA
Cabo Verde,2011,1,0.1733543685884296,0.33289054716482097,0.3019353962034119,NA,NA
Cabo Verde,2012,1,8.595614971906235,1.7935592942693932,-1.095244263760647,NA,NA
Cabo Verde,2013,1,5.550915453326585,1.6744116300565426,0.5709308215403683,NA,NA
Cabo Verde,2014,1,-8.723252788955591,1.1336173409617827,1.39763120683168,NA,NA
Cabo Verde,2015,1,4.1501481025245575,1.9617197088201102,0.7937069886356707,NA,NA
Cabo Verde,2016,1,-0.883435683834924,1.3228313954253732,0.1810296447397097,NA,NA
Cabo Verde,2017,1,-0.7732251742372611,1.9207808596427127,-0.3656922286822094,NA,NA
Cabo Verde,2018,1,-0.4286729728313199,0.8141105435016519,0.26534760364240045,NA,NA
Cabo Verde,2019,1,0.3284469835086769,0.41225955242964174,0.4237751378552452,NA,NA
Cabo Verde,2020,1,0.575493408586576,0.4549917458612788,-0.022820734408900485,NA,NA
Cabo Verde,2021,1,-0.5918988378481939,1.0713125173220477,0.36153298241658366,NA,NA
Cabo Verde,2022,1,0.5490167116112855,0.6669601084864785,-0.045377438385582655,NA,NA
Cabo Verde,2023,1,0.560277812268516,0.913774586069414,0.10127302287741886,NA,NA
Comoros,1991,1,-0.15540319156998783,0.9464457098028033,0.10387432169307709,0.10967165823501467,1.0045884981609072
Comoros,1992,1,-0.15540329668816416,0.9464463291766707,0.10387438977965266,0.1096717307085068,1.004589152976666
Comoros,1993,1,-0.15539785129206382,0.9464132987086137,0.10387076403097296,0.1096679054184197,1.0045541168659426
Comoros,1994,1,-0.15540110792533016,0.9464330473055298,0.10387293537059483,0.10967019067882555,1.0045750654296202
Comoros,1995,1,-0.155400932909429,0.9464319925979252,0.10387281394251364,0.10967006362423241,1.0045739372552422
Comoros,1996,1,-0.15540165865759453,0.946436454318187,0.10387327649316444,0.10967059271971394,1.004578664873471
Comoros,1997,1,-0.1554111393764951,0.9464941245490849,0.10387962836927896,0.10967727082912489,1.0046398843709934
Comoros,1998,1,-0.15542291800064673,0.946565999565751,0.103887532879984,0.10968558974659481,1.004716204191683
Comoros,1999,1,-0.1553816536095803,0.9463145336365612,0.1038599210394882,0.10965647370381679,1.0044492747702858
Comoros,2000,1,-0.1554071449731825,0.9464697883794992,0.103876960787131,0.10967444757463973,1.0046140517680877
Comoros,2001,1,-0.15540588950204837,0.9464622082739391,0.10387612365338111,0.1096735716690858,1.0046060140943576
Comoros,2002,1,-0.15539388573768015,0.9463891092282974,0.10386811060852605,0.10966510001139473,1.004528434110538
Comoros,2003,1,-0.1554214423800066,0.9465568406515437,0.1038865221540862,0.10968452782559336,1.0047064482512165
Comoros,2004,1,-0.1553999468434019,0.9464259895652547,0.10387214704776142,0.1096693778219612,1.0045675675915755
Comoros,2005,1,-0.15539650345392597,0.9464050180226655,0.10386985760135721,0.10966694351346647,1.0045453156835633
