"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Base Year","Value","Value Footnotes"
"Antigua and Barbuda","2.2","Industries","Post and telecommunications","64","2019","100","EC dollar","1993","2006","122320000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation, real estate, renting and business activities","J+K","2019","100","EC dollar","1993","2006","707980000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation","J","2019","100","EC dollar","1993","2006","272340000",""
"Antigua and Barbuda","2.2","Industries","Real estate, renting and business activities","K","2019","100","EC dollar","1993","2006","435640000",""
"Antigua and Barbuda","2.2","Industries","Public administration and defence; compulsory social security","L","2019","100","EC dollar","1993","2006","264460000",""
"Antigua and Barbuda","2.2","Industries","Education; health and social work; other community, social and personal services","M+N+O","2019","100","EC dollar","1993","2006","335870000",""
"Antigua and Barbuda","2.2","Industries","Education","M","2019","100","EC dollar","1993","2006","169910000",""
"Antigua and Barbuda","2.2","Industries","Health and social work","N","2019","100","EC dollar","1993","2006","96590000",""
"Antigua and Barbuda","2.2","Industries","Other community, social and personal services","O","2019","100","EC dollar","1993","2006","69370000",""
"Antigua and Barbuda","2.2","Industries","Private households with employed persons","P","2019","100","EC dollar","1993","2006","9150000",""
"Antigua and Barbuda","2.2","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2019","100","EC dollar","1993","2006","3217580000",""
"Antigua and Barbuda","2.2","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2019","100","EC dollar","1993","2006","52040000",""
"Antigua and Barbuda","2.2","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2019","100","EC dollar","1993","2006","432250000",""
"Antigua and Barbuda","2.2","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2019","100","EC dollar","1993","2006","3649830000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","100","EC dollar","1993","2006","52950000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting, forestry","A","2018","100","EC dollar","1993","2006","22680000",""
"Antigua and Barbuda","2.2","Industries","Agriculture, hunting and related service activities","01","2018","100","EC dollar","1993","2006","21750000",""
"Antigua and Barbuda","2.2","Industries","Forestry, logging and related service activities","02","2018","100","EC dollar","1993","2006","930000",""
"Antigua and Barbuda","2.2","Industries","Fishing","B","2018","100","EC dollar","1993","2006","30270000",""
"Antigua and Barbuda","2.2","Industries","Mining and quarrying","C","2018","100","EC dollar","1993","2006","39540000",""
"Antigua and Barbuda","2.2","Industries","Manufacturing","D","2018","100","EC dollar","1993","2006","67950000",""
"Antigua and Barbuda","2.2","Industries","Electricity, gas and  water supply","E","2018","100","EC dollar","1993","2006","114270000",""
"Antigua and Barbuda","2.2","Industries","Construction","F","2018","100","EC dollar","1993","2006","444820000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods; hotels and restaurants","G+H","2018","100","EC dollar","1993","2006","802630000",""
"Antigua and Barbuda","2.2","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","100","EC dollar","1993","2006","372270000",""
"Antigua and Barbuda","2.2","Industries","Hotels and restaurants","H","2018","100","EC dollar","1993","2006","430360000",""
"Antigua and Barbuda","2.2","Industries","Transport, storage and communications","I","2018","100","EC dollar","1993","2006","318790000",""
"Antigua and Barbuda","2.2","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2018","100","EC dollar","1993","2006","186740000",""
"Antigua and Barbuda","2.2","Industries","Post and telecommunications","64","2018","100","EC dollar","1993","2006","132040000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation, real estate, renting and business activities","J+K","2018","100","EC dollar","1993","2006","675440000",""
"Antigua and Barbuda","2.2","Industries","Financial intermediation","J","2018","100","EC dollar","1993","2006","260290000",""
