"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Fiscal Year","Series","Currency","SNA System","Fiscal Year Type","Base Year","Value","Value Footnotes"
"Germany","2.5","Industries","Other service activities","R+S+T","2016","1000","Euro","2008","Western calendar year","2010","95554210000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2016","1000","Euro","2008","Western calendar year","2015","106280930000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2016","1000","Euro","2008","Western calendar year","2010","2578474470000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2016","1000","Euro","2008","Western calendar year","2015","2783265450000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2016","1000","Euro","2008","Western calendar year","2010","292159140000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2016","1000","Euro","2008","Western calendar year","2015","310334000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2016","1000","Euro","2008","Western calendar year","2010","297940010000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2016","1000","Euro","2008","Western calendar year","2015","317130000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2016","1000","Euro","2008","Western calendar year","2010","5840920000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2016","1000","Euro","2008","Western calendar year","2015","6798000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2016","1000","Euro","2008","Western calendar year","2010","2870574760000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2016","1000","Euro","2008","Western calendar year","2015","3093663810000","1"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2015","1000","Euro","2008","Western calendar year","2010","15243760000",""
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2015","1000","Euro","2008","Western calendar year","2015","20720000000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2015","1000","Euro","2008","Western calendar year","2010","675914180000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2015","1000","Euro","2008","Western calendar year","2015","695484000000",""
"Germany","2.5","Industries","Manufacturing","C","2015","1000","Euro","2008","Western calendar year","2010","590493590000",""
"Germany","2.5","Industries","Manufacturing","C","2015","1000","Euro","2008","Western calendar year","2015","615764000000",""
"Germany","2.5","Industries","Construction","F","2015","1000","Euro","2008","Western calendar year","2010","103497250000",""
"Germany","2.5","Industries","Construction","F","2015","1000","Euro","2008","Western calendar year","2015","124907000000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2015","1000","Euro","2008","Western calendar year","2010","404656820000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2015","1000","Euro","2008","Western calendar year","2015","430339000000",""
"Germany","2.5","Industries","Information and communication","J","2015","1000","Euro","2008","Western calendar year","2010","132808660000",""
"Germany","2.5","Industries","Information and communication","J","2015","1000","Euro","2008","Western calendar year","2015","126057000000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2015","1000","Euro","2008","Western calendar year","2010","110596830000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2015","1000","Euro","2008","Western calendar year","2015","119828000000",""
"Germany","2.5","Industries","Real estate activities","L","2015","1000","Euro","2008","Western calendar year","2010","279092730000",""
"Germany","2.5","Industries","Real estate activities","L","2015","1000","Euro","2008","Western calendar year","2015","299286000000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2015","1000","Euro","2008","Western calendar year","2010","266876090000",""
"Germany","2.5","Industries","Professional, scientific, technical, administrative and support service activities","M+N","2015","1000","Euro","2008","Western calendar year","2015","306854000000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2015","1000","Euro","2008","Western calendar year","2010","436974560000",""
"Germany","2.5","Industries","Public administration and defence, education, human health and social work activities","O+P+Q","2015","1000","Euro","2008","Western calendar year","2015","490349000000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2015","1000","Euro","2008","Western calendar year","2010","96617000000",""
"Germany","2.5","Industries","Other service activities","R+S+T","2015","1000","Euro","2008","Western calendar year","2015","108196000000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2015","1000","Euro","2008","Western calendar year","2010","2522289450000",""
"Germany","2.5","Industries","Equals: VALUE ADDED, GROSS, at basic prices","B.1g","2015","1000","Euro","2008","Western calendar year","2015","2722020000000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2015","1000","Euro","2008","Western calendar year","2010","285286630000",""
"Germany","2.5","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2015","1000","Euro","2008","Western calendar year","2015","304160000000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2015","1000","Euro","2008","Western calendar year","2010","291654700000",""
"Germany","2.5","Industries","Plus: Taxes on products","D.21","2015","1000","Euro","2008","Western calendar year","2015","310942000000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2015","1000","Euro","2008","Western calendar year","2010","6355270000",""
"Germany","2.5","Industries","Less: Subsidies on products","D.31","2015","1000","Euro","2008","Western calendar year","2015","6782000000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2015","1000","Euro","2008","Western calendar year","2010","2807621290000",""
"Germany","2.5","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2015","1000","Euro","2008","Western calendar year","2015","3026180000000","1"
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2014","1000","Euro","2008","Western calendar year","2010","17802200000",""
"Germany","2.5","Industries","Agriculture, forestry and fishing","A","2014","1000","Euro","2008","Western calendar year","2015","24035200000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2014","1000","Euro","2008","Western calendar year","2010","659282020000",""
"Germany","2.5","Industries","Manufacturing, mining and quarrying and other industrial activities","B+C+D+E","2014","1000","Euro","2008","Western calendar year","2015","684634450000",""
"Germany","2.5","Industries","Manufacturing","C","2014","1000","Euro","2008","Western calendar year","2010","576326270000",""
"Germany","2.5","Industries","Manufacturing","C","2014","1000","Euro","2008","Western calendar year","2015","609175330000",""
"Germany","2.5","Industries","Construction","F","2014","1000","Euro","2008","Western calendar year","2010","103487270000",""
"Germany","2.5","Industries","Construction","F","2014","1000","Euro","2008","Western calendar year","2015","125069380000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2014","1000","Euro","2008","Western calendar year","2010","398802970000",""
"Germany","2.5","Industries","Wholesale and retail trade, transportation and storage, accommodation and food service activities","G+H+I","2014","1000","Euro","2008","Western calendar year","2015","423754810000",""
"Germany","2.5","Industries","Information and communication","J","2014","1000","Euro","2008","Western calendar year","2010","129966670000",""
"Germany","2.5","Industries","Information and communication","J","2014","1000","Euro","2008","Western calendar year","2015","124317410000",""
"Germany","2.5","Industries","Financial and insurance activities","K","2014","1000","Euro","2008","Western calendar year","2010","111510940000",""
